time_sec,tof_pos_mm_1,tof_pos_mm_2,tof_pos_mm_3,reel_radians_1,reel_radians_2,reel_radians_3,reel_lin_mm_1,reel_lin_mm_2,reel_lin_mm_3,press_psi_1,press_psi_2,press_psi_3,flow_lpm_1,flow_lpm_2,flow_lpm_3,supply_psi,fric_level,inertia_level,hash
0,601.96029348,0,0,0,0,0,-52.41,0,0,0.134744285714286,3.02817490921377,29.3357709551017,2.42466517857143,73.9448879487202,862.576815223768,0.776944826007327,med,lo,768af640
0.0215605,601.96029348,0,0,0,0,0,-52.41,0,0,0.20203,3.62202048843988,24.1676291421444,4.34988839285714,91.0364832370279,694.544993573997,0.776944826007327,med,lo,768af640
0.0368841,601.96029348,0,0,0,0,0,-52.41,0,0,0.278901428571429,3.95005757774223,16.8786672294722,6.49274553571429,104.780974448042,407.557952030336,0.776944826007327,med,lo,768af640
0.0547966,601.96029348,0,0,0,0,0,-52.41,0,0,0.359444285714286,4.11899850183644,7.62192343003365,8.69140625,110.05088299527,65.2335076837455,0.776944826007327,med,lo,768af640
0.0753625,601.96029348,0,0,0,0,0,-52.41,0,0,0.437358571428572,3.99466284331243,-2.34313912528237,10.7952008928571,102.240973481585,-297.489030396772,0.776944826007327,med,lo,768af640
0.0906768,601.96029348,0,0,0,0,0,-52.41,0,0,0.503215714285715,3.71013715748182,-11.4820021390712,12.6534598214286,84.9119949253843,-649.911540948276,0.776944826007327,med,lo,768af640
0.1074557,601.96029348,0,0,0,0,0,-52.41,0,0,0.562058571428572,3.26201831781611,-18.0037049030411,13.9564732142857,62.9065659916881,-957.498637549962,0.776944826007327,med,lo,768af640
0.1297928,601.96029348,0,0,0,0,0,-52.41,0,0,0.604272857142858,2.75276474087027,-22.914370263132,14.4419642857143,38.9783325880573,-1151.38150868431,0.776944826007327,med,lo,768af640
0.1483168,601.96029348,0,0,0,0,0,-52.41,0,0,0.638115714285715,2.27243773941681,-24.1469483025568,14.3303571428571,14.6465476290081,-1178.64628743758,0.776944826007327,med,lo,768af640
0.1619933,601.96029348,0,0,0,0,0,-52.41,0,0,0.662315714285715,1.83392057817084,-23.3672806501018,13.88671875,-7.76243286010642,-1085.54211702827,0.776944826007327,med,lo,768af640
